gene_id_5prime,gene_symbol_5prime,chr_5prime,gene_id_3prime,gene_symbol_3prime,chr_3prime,model_id,model_name,tissue,in_patient,in_frame,in_cosmic_fusions,dataset
SIDG00523,ADNP,20,SIDG39674,TSNARE1,8,SIDM00754,NCI-H1781,Lung,False,5UTR_CODING,False,Sanger Cell Lines Fusions
SIDG00577,AFG3L2,18,SIDG36321,SPIRE1,18,SIDM00810,A427,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG00588,AGAP3,7,SIDG39786,IFT56,7,SIDM00742,NCI-H1693,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG00588,AGAP3,7,SIDG41493,ZC3HAV1,7,SIDM00742,NCI-H1693,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG00603,AGBL4,1,SIDG08316,FAF1,1,SIDM00749,NCI-H1573,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG00603,AGBL4,1,SIDG41589,ZFP69B,1,SIDM00770,NCI-H1836,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG00630,AGO3,1,SIDG00628,AGO1,1,SIDM00927,NCI-H510A,Lung,False,5UTR_CODING,False,Sanger Cell Lines Fusions
SIDG00642,AGRN,1,SIDG13261,ISG15,1,SIDM00758,NCI-H1993,Lung,True,No,False,Sanger Cell Lines Fusions
SIDG00642,AGRN,1,SIDG13261,ISG15,1,SIDM00758,NCI-H1993,Lung,True,No,False,Sanger Cell Lines Fusions
SIDG00642,AGRN,1,SIDG22028,NOC4L,12,SIDM01071,HCC-33,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG00769,AKR1C1,10,SIDG00774,AKR1C6P,10,SIDM00734,NCI-H1437,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG00787,AKT3,1,SIDG01681,ASPSCR1,17,SIDM00741,NCI-H1694,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG00787,AKT3,1,SIDG17052,MACF1,1,SIDM00741,NCI-H1694,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG00787,AKT3,1,SIDG21103,MYCL,1,SIDM00741,NCI-H1694,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG00787,AKT3,1,SIDG21103,MYCL,1,SIDM00741,NCI-H1694,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG00787,AKT3,1,SIDG33909,SDCCAG8,1,SIDM00741,NCI-H1694,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG00787,AKT3,1,SIDG33909,SDCCAG8,1,SIDM00741,NCI-H1694,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG00787,AKT3,1,SIDG33909,SDCCAG8,1,SIDM00741,NCI-H1694,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG00787,AKT3,1,SIDG33909,SDCCAG8,1,SIDM00741,NCI-H1694,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG00808,ALDH4A1,1,SIDG40227,UBR4,1,SIDM00296,LU-134-A,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG00858,ALK,2,SIDG26281,PTPN3,9,SIDM00729,NCI-H2228,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG00869,ALKBH8,11,SIDG07678,ELMOD1,11,SIDM00100,NCI-H2595,Lung,False,3UTR_5UTR,False,Sanger Cell Lines Fusions
SIDG00956,ANAPC1,2,SIDG27131,RGPD4,2,SIDM00953,CPC-N,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG00988,ANK1,8,SIDG13589,KCNU1,8,SIDM00748,NCI-H1581,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG01015,ANKRD12,18,SIDG20484,MTCL1,18,SIDM00925,NCI-H441,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG01058,ANKRD28,3,SIDG37226,TBC1D5,3,SIDM00741,NCI-H1694,Lung,True,No,False,Sanger Cell Lines Fusions
SIDG01058,ANKRD28,3,SIDG37226,TBC1D5,3,SIDM00741,NCI-H1694,Lung,True,No,False,Sanger Cell Lines Fusions
SIDG01080,ANKRD36C,2,SIDG21396,NBAS,2,SIDM00320,VMRC-LCD,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG01142,ANTXR1,2,SIDG16892,LRRTM4,2,SIDM00704,NCI-H211,Lung,False,ambiguous,False,Sanger Cell Lines Fusions
SIDG01143,ANTXR2,4,SIDG38247,TNFSF10,3,SIDM00486,EBC-1,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG01143,ANTXR2,4,SIDG38247,TNFSF10,3,SIDM00486,EBC-1,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG01186,AP2A2,11,SIDG32619,RPLP2,11,SIDM01183,UMC-11,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG01190,AP3B1,5,SIDG14580,LHFPL2,5,SIDM00751,NCI-H1563,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG01192,AP3D1,19,SIDG26456,R3HCC1L,10,SIDM00758,NCI-H1993,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG01201,AP4S1,14,SIDG22398,NUBPL,14,SIDM01125,NCI-H647,Lung,False,5UTR_CODING,False,Sanger Cell Lines Fusions
SIDG01207,APBA1,9,SIDG26175,PTAR1,9,SIDM00965,NCI-H446,Lung,False,5UTR_CODING,False,Sanger Cell Lines Fusions
SIDG01207,APBA1,9,SIDG26175,PTAR1,9,SIDM00965,NCI-H446,Lung,False,5UTR_CODING,False,Sanger Cell Lines Fusions
SIDG01291,APTX,9,SIDG22039,NOL6,9,SIDM00924,ChaGo-K-1,Lung,True,Yes,False,Sanger Cell Lines Fusions
SIDG01291,APTX,9,SIDG22039,NOL6,9,SIDM00924,ChaGo-K-1,Lung,True,Yes,False,Sanger Cell Lines Fusions
SIDG01332,ARF3,12,SIDG41149,WNT1,12,SIDM00709,NCI-H2085,Lung,False,5UTR_CODING,False,Sanger Cell Lines Fusions
SIDG01345,ARFGEF1,8,SIDG34302,SGK3,8,SIDM01067,HCC-827,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG01367,ARHGAP12,10,SIDG41903,ZNF277,7,SIDM00741,NCI-H1694,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG01378,ARHGAP23,17,SIDG26000,PRTFDC1,10,SIDM00509,COR-L311,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG01380,ARHGAP24,4,SIDG21719,NENF,1,SIDM00506,COR-L88,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG01390,ARHGAP29,1,SIDG05139,COL24A1,1,SIDM00703,NCI-H2110,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG01396,ARHGAP35,19,SIDG41323,YIF1B,19,SIDM00710,NCI-H2081,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG01398,ARHGAP39,8,SIDG05158,COMMD5,8,SIDM00758,NCI-H1993,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG01358,ARHGAP4,X,SIDG11045,HCFC1,X,SIDM00865,DMS-114,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG01406,ARHGAP44,17,SIDG73187,MIR3171HG,14,SIDM00758,NCI-H1993,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG01406,ARHGAP44,17,SIDG17195,MAP2K4,17,SIDM01126,NCI-H64,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG01359,ARHGAP5,14,SIDG00732,AKAP6,14,SIDM00137,NCI-H3122,Lung,True,5UTR_5UTR,False,Sanger Cell Lines Fusions
SIDG01359,ARHGAP5,14,SIDG00732,AKAP6,14,SIDM00137,NCI-H3122,Lung,True,5UTR_5UTR,False,Sanger Cell Lines Fusions
SIDG01359,ARHGAP5,14,SIDG26645,RALGAPA1,14,SIDM00737,NCI-H1770,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG01412,ARHGEF2,1,SIDG13207,IQGAP3,1,SIDM00792,NCI-H1688,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG01437,ARHGEF28,5,SIDG02592,BTF3,5,SIDM00103,NCI-H2373,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG01422,ARHGEF9,X,SIDG15373,LINC01278,X,SIDM01149,NCI-H847,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG01447,ARID1B,6,SIDG38434,TPRG1,3,SIDM00524,DMS-79,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG01448,ARID2,12,SIDG13615,KCTD16,5,SIDM00649,NCI-H1299,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG01456,ARID5B,10,SIDG16809,LRRC20,10,SIDM00921,Calu-6,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG01456,ARID5B,10,SIDG37875,TMEM26-AS1,10,SIDM00367,SBC-3,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG01457,ARIH1,15,SIDG16273,LINC02255,15,SIDM00101,NCI-H2591,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG01457,ARIH1,15,SIDG16273,LINC02255,15,SIDM00101,NCI-H2591,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG01457,ARIH1,15,SIDG37348,TCF12,15,SIDM00101,NCI-H2591,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG01505,ARL13B,3,SIDG09498,FRMD4B,3,SIDM00926,NCI-H2172,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG01509,ARL15,5,SIDG11651,HMGN3,6,SIDM01122,NCI-H661,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG01546,BMAL2,12,SIDG72445,ITPR2-AS1,12,SIDM00990,BEN,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG01548,ARPC1A,7,SIDG39494,TRRAP,7,SIDM00758,NCI-H1993,Lung,True,Yes,False,Sanger Cell Lines Fusions
SIDG01606,ASAP1,8,SIDG08356,TAFA5,22,SIDM01119,NCI-H727,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG01606,ASAP1,8,SIDG11232,HHLA1,8,SIDM00648,NCI-H1304,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG01606,ASAP1,8,SIDG39416,TRPS1,8,SIDM00708,NCI-H2087,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG01631,ASCC1,10,SIDG06738,DNAJB12,10,SIDM01150,NCI-H838,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG01675,ASPH,8,SIDG07604,EIF4EBP1,8,SIDM00734,NCI-H1437,Lung,True,Yes,False,Sanger Cell Lines Fusions
SIDG01705,ASXL2,2,SIDG00476,ADGRF3,2,SIDM01072,HCC-15,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG01709,ATAD2,8,SIDG01162,ANXA13,8,SIDM00708,NCI-H2087,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG01709,ATAD2,8,SIDG16256,LINC02237,8,SIDM00297,LC-2-ad,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG01712,ATAD3B,1,SIDG05363,CPTP,1,SIDM01131,NCI-H82,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG01756,ATG16L1,2,SIDG13112,INPP5D,2,SIDM00345,LCLC-103H,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG01739,ATG4A,X,SIDG21109,MYCNOS,2,SIDM01120,NCI-H720,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG01739,ATG4A,X,SIDG21109,MYCNOS,2,SIDM01120,NCI-H720,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG01739,ATG4A,X,SIDG21396,NBAS,2,SIDM01120,NCI-H720,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG01739,ATG4A,X,SIDG21396,NBAS,2,SIDM01120,NCI-H720,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG01739,ATG4A,X,SIDG21396,NBAS,2,SIDM01120,NCI-H720,Lung,False,ambiguous,False,Sanger Cell Lines Fusions
SIDG01739,ATG4A,X,SIDG21396,NBAS,2,SIDM01120,NCI-H720,Lung,False,ambiguous,False,Sanger Cell Lines Fusions
SIDG01739,ATG4A,X,SIDG21396,NBAS,2,SIDM01120,NCI-H720,Lung,False,ambiguous,False,Sanger Cell Lines Fusions
SIDG01739,ATG4A,X,SIDG21396,NBAS,2,SIDM01120,NCI-H720,Lung,False,ambiguous,False,Sanger Cell Lines Fusions
SIDG01769,ATOH8,2,SIDG10328,GNLY,2,SIDM00758,NCI-H1993,Lung,True,No,False,Sanger Cell Lines Fusions
SIDG01770,ATOX1,5,SIDG01587,ARSI,5,SIDM00753,NCI-H2023,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG01770,ATOX1,5,SIDG03391,CAMK2A,5,SIDM00753,NCI-H2023,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG01954,ATR,3,SIDG10618,GRAMD1C,3,SIDM00746,NCI-H1648,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG01954,ATR,3,SIDG10618,GRAMD1C,3,SIDM00746,NCI-H1648,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG01957,ATRN,20,SIDG36734,STK35,20,SIDM00721,NCI-H250,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG01957,ATRN,20,SIDG36734,STK35,20,SIDM00721,NCI-H250,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG01959,ATRX,X,SIDG17136,MAGT1,X,SIDM01130,NCI-H520,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG01962,ATXN2,12,SIDG02494,BRAP,12,SIDM00119,EKVX,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG01962,ATXN2,12,SIDG40349,UNC5C,4,SIDM00704,NCI-H211,Lung,False,ambiguous,False,Sanger Cell Lines Fusions
SIDG01962,ATXN2,12,SIDG40349,UNC5C,4,SIDM00704,NCI-H211,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG01968,ATXN7L1,7,SIDG04487,CFTR,7,SIDM00758,NCI-H1993,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG02062,B9D1,17,SIDG03986,CD82,11,SIDM00486,EBC-1,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG02073,BACE2,21,SIDG37130,TAPT1,4,SIDM00354,RERF-LC-Sq1,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG02073,BACE2,21,SIDG37130,TAPT1,4,SIDM00354,RERF-LC-Sq1,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG02087,BAG6,6,SIDG21713,NELFE,6,SIDM00138,NCI-H23,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG02115,BARD1,2,SIDG07883,EPHA6,3,SIDM00598,HARA,Lung,False,ambiguous,False,Sanger Cell Lines Fusions
SIDG02128,BAZ1A,14,SIDG00732,AKAP6,14,SIDM00735,NCI-H2029,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG02128,BAZ1A,14,SIDG34278,SFTA3,14,SIDM00927,NCI-H510A,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG02128,BAZ1A,14,SIDG34278,SFTA3,14,SIDM00927,NCI-H510A,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG02128,BAZ1A,14,SIDG34278,SFTA3,14,SIDM00927,NCI-H510A,Lung,False,ambiguous,False,Sanger Cell Lines Fusions
SIDG02143,BBS9,7,SIDG38348,TOPBP1,3,SIDM00245,MS-1,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG02146,BBX,3,SIDG09498,FRMD4B,3,SIDM00926,NCI-H2172,Lung,False,5UTR_CODING,False,Sanger Cell Lines Fusions
SIDG02150,BCAP31,X,SIDG17481,MECP2,X,SIDM00749,NCI-H1573,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG02156,BCAR3,1,SIDG15808,LINC01787,1,SIDM00139,NCI-H226,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG02156,BCAR3,1,SIDG36780,STRN4,19,SIDM00703,NCI-H2110,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG02156,BCAR3,1,SIDG36780,STRN4,19,SIDM00703,NCI-H2110,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG02163,BCAS3,17,SIDG26239,PTHLH,12,SIDM00518,NCI-H290,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG02186,BCL2L13,22,SIDG07855,EP300,22,SIDM00486,EBC-1,Lung,False,5UTR_CODING,False,Sanger Cell Lines Fusions
SIDG02186,BCL2L13,22,SIDG07855,EP300,22,SIDM00486,EBC-1,Lung,False,5UTR_CODING,False,Sanger Cell Lines Fusions
SIDG02249,BEND5,1,SIDG41589,ZFP69B,1,SIDM00770,NCI-H1836,Lung,False,ambiguous,False,Sanger Cell Lines Fusions
SIDG02286,BICD1,12,SIDG41299,YARS2,12,SIDM01117,NCI-H748,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG02294,BID,22,SIDG17731,MICAL3,22,SIDM00734,NCI-H1437,Lung,False,5UTR_CODING,False,Sanger Cell Lines Fusions
SIDG02302,BIRC2,11,SIDG06202,DDX10,11,SIDM00114,NCI-H513,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG02318,BLM,15,SIDG05447,CRTC3,15,SIDM00101,NCI-H2591,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG02318,BLM,15,SIDG05447,CRTC3,15,SIDM00101,NCI-H2591,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG02364,BMPR2,2,SIDG40047,TYW5,2,SIDM01150,NCI-H838,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG02393,BNIP3,10,SIDG17283,MARCHF6,5,SIDM00511,COR-L279,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG02393,BNIP3,10,SIDG17283,MARCHF6,5,SIDM00511,COR-L279,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG02444,BOK,2,SIDG08809,FARP2,2,SIDM00865,DMS-114,Lung,False,3UTR_CODING,False,Sanger Cell Lines Fusions
SIDG02485,BPTF,17,SIDG01585,ARSG,17,SIDM01130,NCI-H520,Lung,True,No,False,Sanger Cell Lines Fusions
SIDG02570,BTAF1,10,SIDG17282,MARCHF5,10,SIDM00700,NCI-H2135,Lung,True,No,False,Sanger Cell Lines Fusions
SIDG02570,BTAF1,10,SIDG17282,MARCHF5,10,SIDM00700,NCI-H2135,Lung,True,No,False,Sanger Cell Lines Fusions
SIDG02580,BTBD9,6,SIDG36522,SSPN,12,SIDM01122,NCI-H661,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG02591,BTD,3,SIDG09041,FGD5,3,SIDM00927,NCI-H510A,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG02649,BUD31,7,SIDG01548,ARPC1A,7,SIDM00758,NCI-H1993,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG03002,C10orf71,10,SIDG21109,MYCNOS,2,SIDM00507,COR-L321,Lung,False,5UTR_5UTR,False,Sanger Cell Lines Fusions
SIDG03002,C10orf71,10,SIDG21109,MYCNOS,2,SIDM00507,COR-L321,Lung,False,5UTR_5UTR,False,Sanger Cell Lines Fusions
SIDG03059,C12orf56,12,SIDG26815,RBM10,X,SIDM00510,COR-L303,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG03060,C12orf57,12,SIDG21441,NCAPD2,12,SIDM00294,LU-135,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG03063,KICS2,12,SIDG37983,TMEM132B,12,SIDM00755,NCI-H1793,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG03065,UQCC6,12,SIDG12042,HSP90B1,12,SIDM00368,SBC-5,Lung,False,ambiguous,False,Sanger Cell Lines Fusions
SIDG03065,UQCC6,12,SIDG12042,HSP90B1,12,SIDM00368,SBC-5,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG21455,NCBP3,17,SIDG25494,PPM1E,17,SIDM01044,EPLC-272H,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG03181,ARK2N,18,SIDG10640,GREB1L,18,SIDM00486,EBC-1,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG03186,C18orf54,18,SIDG25210,POLI,18,SIDM00792,NCI-H1688,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG03205,SHFL,19,SIDG34458,SIK3,11,SIDM00507,COR-L321,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG03205,SHFL,19,SIDG34458,SIK3,11,SIDM00507,COR-L321,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG02710,C1orf174,1,SIDG17547,MEGF6,1,SIDM00521,COR-L95,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG02675,C1orf21,1,SIDG22593,ODR4,1,SIDM00756,NCI-H2009,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG02678,C1orf50,1,SIDG23764,P3H1,1,SIDM00770,NCI-H1836,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG02679,C1orf52,1,SIDG06163,DDAH1,1,SIDM00116,NCI-H522,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG02764,C2CD5,12,SIDG24895,PKP2,12,SIDM00739,NCI-H1734,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG02801,C3,19,SIDG26462,R3HDML,20,SIDM00222,MPP-89,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG02857,C5orf24,5,SIDG05736,CUX2,12,SIDM00223,IST-SL1,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG02891,ILRUN,6,SIDG22236,NQO2,6,SIDM00704,NCI-H211,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG02912,C7orf50,7,SIDG17059,MAD1L1,7,SIDM00645,NCI-H1355,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG03299,CACNA1C,12,SIDG36374,SPSB2,12,SIDM00733,NCI-H2171,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG03317,CACNA2D3,3,SIDG40597,UTP6,17,SIDM01128,NCI-H526,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG03335,CACYBP,1,SIDG40074,UBAC2,13,SIDM00756,NCI-H2009,Lung,False,5UTR_CODING,False,Sanger Cell Lines Fusions
SIDG03361,CALD1,7,SIDG16752,LRGUK,7,SIDM00310,NCI-H2804,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG03400,CAMKMT,2,SIDG72895,LINC02976,6,SIDM00699,NCI-H2141,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG03404,CAMSAP1,9,SIDG24602,PI4KA,22,SIDM00939,CAL-12T,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG03411,CAND1,12,SIDG03059,C12orf56,12,SIDM00758,NCI-H1993,Lung,False,ambiguous,False,Sanger Cell Lines Fusions
SIDG03416,CAP1,1,SIDG11912,HPCAL4,1,SIDM00760,NCI-H1963,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG03437,CAPNS1,19,SIDG37262,TBCB,19,SIDM00368,SBC-5,Lung,True,ambiguous,False,Sanger Cell Lines Fusions
SIDG03437,CAPNS1,19,SIDG37262,TBCB,19,SIDM00368,SBC-5,Lung,True,Yes,False,Sanger Cell Lines Fusions
SIDG03441,CAPRIN2,12,SIDG37966,TMEM117,12,SIDM00771,NCI-H1792,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG03447,CAPZA2,7,SIDG38405,TPK1,7,SIDM00506,COR-L88,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG03449,CAPZB,1,SIDG16260,LINC02241,5,SIDM00927,NCI-H510A,Lung,False,No,False,Sanger Cell Lines Fusions
